Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
video 1/1 (frame 94/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 95/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 96/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 97/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 98/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.9ms
video 1/1 (frame 99/615) /content/test/capstone (1).mp4: 384x640 (no detections), 9.7ms
video 1/1 (frame 100/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.2ms
video 1/1 (frame 101/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 102/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 103/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.2ms
video 1/1 (frame 104/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 105/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.7ms
video 1/1 (frame 106/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 107/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.7ms
video 1/1 (frame 108/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 109/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 110/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 15.0ms
video 1/1 (frame 111/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 112/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.5ms
video 1/1 (frame 113/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 114/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 115/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 116/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.7ms
video 1/1 (frame 117/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 118/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 119/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 120/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.8ms
video 1/1 (frame 121/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 10.5ms
video 1/1 (frame 122/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 123/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 124/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 125/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 126/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.9ms
video 1/1 (frame 127/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 128/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 129/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 130/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 131/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 132/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 133/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 134/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 135/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 136/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.6ms
video 1/1 (frame 137/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.5ms
video 1/1 (frame 138/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 139/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 140/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 141/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 142/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 143/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 144/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.4ms
video 1/1 (frame 145/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 146/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 10.4ms
video 1/1 (frame 147/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 148/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 149/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.8ms
video 1/1 (frame 150/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 151/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 152/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 153/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.8ms
video 1/1 (frame 154/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 155/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 156/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 157/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.6ms
video 1/1 (frame 158/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 159/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 11.3ms
video 1/1 (frame 160/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.3ms
video 1/1 (frame 161/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 162/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 163/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 164/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 7.9ms
video 1/1 (frame 165/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 166/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 167/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.5ms
video 1/1 (frame 168/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 169/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 170/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 9.0ms
video 1/1 (frame 171/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 172/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 173/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.2ms
video 1/1 (frame 174/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.0ms
video 1/1 (frame 175/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.1ms
video 1/1 (frame 176/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.1ms
video 1/1 (frame 177/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.1ms
video 1/1 (frame 178/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.3ms
video 1/1 (frame 179/615) /content/test/capstone (1).mp4: 384x640 (no detections), 7.9ms
video 1/1 (frame 180/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.7ms
video 1/1 (frame 181/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.1ms
video 1/1 (frame 182/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.0ms
video 1/1 (frame 183/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.5ms
video 1/1 (frame 184/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.0ms
video 1/1 (frame 185/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.2ms
video 1/1 (frame 186/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.3ms
video 1/1 (frame 187/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.1ms
video 1/1 (frame 188/615) /content/test/capstone (1).mp4: 384x640 (no detections), 7.9ms
video 1/1 (frame 189/615) /content/test/capstone (1).mp4: 384x640 1 No, 7.9ms
video 1/1 (frame 190/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.0ms
video 1/1 (frame 191/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 7.9ms
video 1/1 (frame 192/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 193/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.0ms
video 1/1 (frame 194/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 195/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 196/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 10.6ms
